ID,Customer Name,Sales Person (Sales Team),Coordinators,Customer Group,Zone,Total_Target,Total_Achievement,N_brands_active,Overall_Achievement_pct,is_zero_achiever
ETLCUST-03704,TUBA TRADE INTERNATIONAL - MOTIJHEEL,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,3760000.0,1687100.0,3,0.4486968085106383,False
ETLCUST-04451,AYAAN INFO TECH - BAITUL MUKARRAM,Md. Sahedul Islam,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,25000000.0,12958400.0,5,0.518336,False
ETLCUST-00139,IT VISTA - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,5056872.0,1350100.0,17,0.266983225994251,False
ETLCUST-04079,TAQWA TECHNOLOGY - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,0.0,255580.0,3,,False
ETLCUST-03804,HIMU COMPUTER - JURAIN,Noor Hossain,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,9400000.0,5967065.0,6,0.6347941489361703,False
ETLCUST-04769,GREEN BANGLA TECH - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,4359830.0,4333750.0,5,0.9940181153852329,False
ETLCUST-00138,A TO Z COMPUTER - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,16242320.0,4444575.0,13,0.2736416349388511,False
ETLCUST-00135,MARUF COMPUTER AND TELECOM - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,19045398.0,9483010.0,16,0.4979160845050337,False
ETLCUST-00136,EASY TECH - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,4752966.0,1830335.0,12,0.38509322389430095,False
ETLCUST-00151,S B COMPUTER ZONE - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,1143000.0,122200.0,7,0.10691163604549431,False
ETLCUST-00367,TALUKDER COMPUTERS AND SOLUTIONS LTD - BANANI,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,97832000.0,44319160.0,18,0.45301292010794014,False
ETLCUST-03073,SMART COMPUTER - JATRABARI,Md Kamrul Hasan Sabuz,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,6780000.0,3234060.0,18,0.477,False
ETLCUST-00117,BADHAN VERITIES STORE - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,265000.0,151230.0,4,0.5706792452830188,False
ETLCUST-00374,LYRIC COMPUTER - GULSHAN,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,6390000.0,2633435.0,7,0.41211815336463226,False
ETLCUST-00373,BROTHERS ENTERPRISE - GULSHAN,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,17031000.0,8244765.0,16,0.48410339968293115,False
ETLCUST-03724,INFINITY SOLUTION - MOTIJHEEL,Md. Sahedul Islam,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,127250000.0,73670390.0,8,0.5789421611001965,False
ETLCUST-01888,AMIN DIGITAL TECHNOLOGY - BAITUL MUKARRAM,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,20000.0,1476050.0,5,73.8025,False
ETLCUST-01891,SHARMIN ELECTRONICS - STADIUM MARKET,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,16800000.0,13390850.0,5,0.7970744047619047,False
ETLCUST-05040,FAITH SOLUTION - KHILGAON,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,5144800.0,3068445.0,4,0.5964167703312082,False
ETLCUST-01247,SARKER INTERNATIONAL - B.MUKARRAM,Md. Sahedul Islam,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,23000000.0,6573085.0,9,0.2857863043478261,False
ETLCUST-00370,PRIYOZON MULTIMEDIA - BADDA,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,6230000.0,2974425.0,5,0.4774357945425361,False
ETLCUST-04063,STAR TECH LTD. - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,3416000.0,782275.0,13,0.22900322014051522,False
ETLCUST-01216,N.S. COMPUTER AND ENGINEERING - MOTIJHEEL,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,2900000.0,1126290.0,7,0.3883758620689655,False
ETLCUST-00365,FOTO CART - BANANI,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,2262000.0,1870365.0,10,0.8268633952254641,False
ETLCUST-02896,MISSION COMPUTER AND TECHNOLOGY - GULSHAN,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,1035000.0,582750.0,8,0.5630434782608695,False
